public_id,year,permit_number,permit_type
1140115,2019,3979,Crab - Resident
1140115,2019,5495,Food Fish - Resident
1270128,2019,1095,Whelk - Resident
1270128,2019,240,Horseshoe Crab - Resident
1270128,2019,240,Crab - Resident
1270128,2019,424,Food Fish - Resident
1300133,2019,10383,Food Fish/Crustacea Dealer/Shipper
1300133,2019,362,Party/Charter Boat
1340135,2019,11317,Food Fish/Crustacea Dealer/Shipper
1340135,2019,4021,Horseshoe Crab - Resident
1340135,2019,4021,Crab - Resident
1340135,2019,5567,Food Fish - Resident
1350138,2019,1012,Whelk - NR
1350138,2019,102544,Food Fish - NR
1350138,2019,1362,Horseshoe Crab - NR
1350138,2019,1362,Crab - NR
1370138,2019,5388,Food Fish - Resident
140018,2019,5361,Food Fish - Resident
1520153,2019,764,Food Fish - Resident
1520158,2019,70,Party/Charter Boat
1550157,2019,1113,Whelk - Resident
1550157,2019,2837,Food Fish - Resident
1570158,2019,1528,Party/Charter Boat
1690171,2019,2486,Food Fish - Resident
1690171,2019,3867,Horseshoe Crab - Resident
1690171,2019,3867,Crab - Resident
1690172,2019,10438,Food Fish/Crustacea Dealer/Shipper
1790180,2019,5400,Food Fish - Resident
180019,2019,1203,Marine Bait
1810182,2019,1535,Party/Charter Boat
1870188,2019,1012,Horseshoe Crab - Resident
1870188,2019,1012,Crab - Resident
1870188,2019,1070,Whelk - Resident
1870188,2019,1916,Food Fish - Resident
1870188,2019,885,Lobster - Resident
1920193,2019,5579,Food Fish - Resident
2000204,2019,10517,Food Fish/Crustacea Dealer/Shipper
2040205,2019,437,Food Fish - Resident
2080209,2019,5384,Food Fish - Resident
2110212,2019,1554,Party/Charter Boat
2170221,2019,1176,Whelk - Resident
2170221,2019,5434,Food Fish - Resident
220024,2019,5371,Food Fish - Resident
2240225,2019,1637,Party/Charter Boat
2240225,2019,5412,Food Fish - Resident
2270228,2019,1600,Horseshoe Crab - Resident
2270228,2019,1600,Crab - Resident
2270228,2019,2324,Lobster - Resident
2270228,2019,3081,Food Fish - Resident
2270234,2019,10676,Food Fish/Crustacea Dealer/Shipper
2280231,2019,3281,Food Fish - Resident
2290230,2019,1567,Party/Charter Boat
2290231,2019,3916,Crab - Resident
2290231,2019,5437,Food Fish - Resident
2420243,2019,5633,Food Fish - Resident
2450249,2019,5415,Food Fish - Resident
2450252,2019,1575,Party/Charter Boat
2480252,2019,1577,Party/Charter Boat
2590262,2019,4024,Horseshoe Crab - Resident
2590262,2019,4024,Crab - Resident
2590262,2019,5554,Food Fish - Resident
260027,2019,3841,Crab - Resident
260027,2019,5375,Food Fish - Resident
260029,2019,4,Party/Charter Boat
2680269,2019,1580,Party/Charter Boat
2680269,2019,3938,Horseshoe Crab - Resident
2680269,2019,3938,Crab - Resident
2680269,2019,5460,Food Fish - Resident
2690273,2019,10997,Food Fish/Crustacea Dealer/Shipper
2690273,2019,1125,Marine Bait
2690273,2019,5620,Food Fish - Resident
270028,2019,1941,Lobster - Resident
270028,2019,5513,Food Fish - Resident
2850288,2019,5629,Food Fish - Resident
2850289,2019,1420,Whelk - Resident
2850289,2019,5639,Food Fish - Resident
2880293,2019,1352,Horseshoe Crab - NR
2880293,2019,1352,Crab - NR
2980302,2019,10639,Food Fish/Crustacea Dealer/Shipper
3130402,2019,5420,Food Fish - Resident
3130412,2019,1591,Party/Charter Boat
3130412,2019,5607,Food Fish - Resident
3130425,2019,1317,Whelk - Resident
3130426,2019,201382,Food Fish Landing
3130427,2019,201383,Food Fish Landing
3130467,2019,1986,Lobster - Resident
3130467,2019,1986,Food Fish - Resident
3130467,2019,1986,Horseshoe Crab - Resident
3130467,2019,1986,Crab - Resident
3130500,2019,5422,Food Fish - Resident
3130511,2019,10435,Food Fish/Crustacea Dealer/Shipper
3130579,2019,1911,Party/Charter Boat
3130644,2019,2,Scoop Dip Scap up to 10 ft sq
3130644,2019,3,Scoop Dip Scap up to 10 ft sq
3130652,2019,13,Scoop Dip Scap up to 10 ft sq
3130653,2019,14,Scoop Dip Scap up to 10 ft sq
3130653,2019,148,Gill Net - Resident
3130694,2019,285,Gill Net - Resident
3130698,2019,359,Gill Net - Resident
3130698,2019,392,Scoop Dip Scap up to 10 ft sq
3130720,2019,1123,Marine Bait
3130720,2019,280,Lobster - Resident
3130720,2019,280,Lobster Bait Gill Net
3130752,2019,116,Fyke Net >3 ft hoop
3130752,2019,291,Gill Net - Resident
3130752,2019,34,Seine
3130752,2019,56,Scoop Dip Scap up to 10 ft sq
3130755,2019,10437,Food Fish/Crustacea Dealer/Shipper
3130767,2019,38,Seine
3130767,2019,4,Gill Net - Resident
3130767,2019,57,Eel Pots - Resident
3130844,2019,313,Gill Net - Resident
3130870,2019,5,Gill Net - Resident
3130871,2019,2,Seine
3130871,2019,94,Gill Net - Resident
3130872,2019,6,Gill Net - Resident
3130874,2019,9,Gill Net - Resident
3130883,2019,20,Gill Net - Resident
3130883,2019,90,Scoop Dip Scap up to 10 ft sq
3130902,2019,318,Gill Net - Resident
3130902,2019,473,Scoop Dip Scap up to 10 ft sq
3130906,2019,39,Gill Net - Resident
3130906,2019,7,Eel Pots - Resident
3130913,2019,357,Gill Net - Resident
3130913,2019,97,Scoop Dip Scap up to 10 ft sq
3130922,2019,102,Scoop Dip Scap up to 10 ft sq
3130941,2019,53,Gill Net - Resident
3130942,2019,54,Gill Net - Resident
3130959,2019,83,Crab - Resident
3130978,2019,62,Gill Net - Resident
3130981,2019,458,Scoop Dip Scap up to 10 ft sq
3130991,2019,65,Gill Net - Resident
3130996,2019,20,Eel Pots - Resident
3130996,2019,66,Gill Net - Resident
3131026,2019,300,Gill Net - Resident
3131026,2019,77,Eel Pots - Resident
3131027,2019,75,Gill Net - Resident
3131029,2019,462,Scoop Dip Scap up to 10 ft sq
3131029,2019,76,Gill Net - Resident
3131032,2019,306,Gill Net - Resident
3131032,2019,487,Scoop Dip Scap up to 10 ft sq
3131038,2019,81,Gill Net - Resident
3131042,2019,83,Gill Net - Resident
3131049,2019,85,Gill Net - Resident
3131074,2019,1605,Party/Charter Boat
3131075,2019,1460,Lobster - Resident
3131075,2019,1460,Lobster Bait Gill Net
3131075,2019,2262,Party/Charter Boat
3131075,2019,786,Food Fish - Resident
3131128,2019,293,Gill Net - Resident
3131142,2019,170,Scoop Dip Scap up to 10 ft sq
3131142,2019,171,Scoop Dip Scap up to 10 ft sq
3131142,2019,308,Gill Net - Resident
3131200,2019,97,Gill Net - Resident
3131202,2019,98,Gill Net - Resident
3131264,2019,103,Gill Net - Resident
3131341,2019,210,Scoop Dip Scap up to 10 ft sq
3131349,2019,1007,Whelk - Resident
3131349,2019,3367,Food Fish - Resident
3131349,2019,706,Horseshoe Crab - Resident
3131349,2019,706,Crab - Resident
3131352,2019,1613,Party/Charter Boat
3131392,2019,531,Scoop Dip Scap up to 10 ft sq
3131486,2019,1286,Whelk - Resident
3131486,2019,3940,Horseshoe Crab - Resident
3131486,2019,3940,Crab - Resident
3131486,2019,5464,Food Fish - Resident
3131486,2019,724,Lobster - Resident
3131498,2019,2014,Crab - Resident
3131498,2019,416,Food Fish - Resident
3131501,2019,10445,Food Fish/Crustacea Dealer/Shipper
3131504,2019,1793,Party/Charter Boat
3131504,2019,5568,Food Fish - Resident
3131505,2019,10989,Food Fish/Crustacea Dealer/Shipper
3131505,2019,1408,Whelk - Resident
3131505,2019,3991,Horseshoe Crab - Resident
3131505,2019,3991,Crab - Resident
3131505,2019,5502,Food Fish - Resident
3131509,2019,5638,Food Fish - Resident
3131512,2019,5610,Food Fish - Resident
3131551,2019,1636,Party/Charter Boat
3131559,2019,10451,Food Fish/Crustacea Dealer/Shipper
3131563,2019,1638,Party/Charter Boat
3131569,2019,2341,Party/Charter Boat
3131596,2019,1642,Party/Charter Boat
3131601,2019,1019,Whelk - NR
3131601,2019,1357,Horseshoe Crab - NR
3131601,2019,1357,Crab - NR
3131608,2019,10453,Food Fish/Crustacea Dealer/Shipper
3131617,2019,11204,Food Fish/Crustacea Dealer/Shipper
3131617,2019,1430,Whelk - Resident
3131617,2019,3640,Food Fish - Resident
3131617,2019,4067,Horseshoe Crab - Resident
3131617,2019,4067,Crab - Resident
3131711,2019,9097,Food Fish/Crustacea Dealer/Shipper
3131729,2019,2471,Food Fish - Resident
3131767,2019,100,Party/Charter Boat
3131778,2019,201688,Food Fish Landing
3131786,2019,4048,Horseshoe Crab - Resident
3131786,2019,4048,Crab - Resident
3131790,2019,1658,Party/Charter Boat
3131795,2019,10459,Food Fish/Crustacea Dealer/Shipper
3131841,2019,1020,Whelk - NR
